TABLE TrkAlignPlane
   24,     4_0_0,  0.000000,  0.043085, -0.012470,  0.001034,  0.000139,  0.000088
   25,     4_1_0,  0.000000, -0.090095,  0.038897, -0.000396, -0.000304,  0.000139
   26,     4_2_0,  0.000000,  0.077593,  0.388025, -0.001052, -0.000528,  0.000257
   27,     4_3_0,  0.000000,  0.030324,  0.295990, -0.000895,  0.000486,  0.000173
   28,     4_4_0,  0.000000, -0.043953, -0.040664, -0.000059,  0.000634, -0.000221
   29,     4_5_0,  0.000000,  0.000000,  0.000000,  0.000000,  0.000000,  0.000000
   30,     5_0_0,  0.000000,  0.000000,  0.000000,  0.000000,  0.000000,  0.000000
   31,     5_1_0,  0.000000,  0.000000,  0.467942,  0.001608,  0.001362,  0.000058
   32,     5_2_0,  0.000000,  0.000000,  0.000000,  0.000000,  0.000000,  0.000000
   33,     5_3_0,  0.000000,  0.000000,  0.000000,  0.000000,  0.000000,  0.000000
   34,     5_4_0,  0.000000,  0.000000,  0.467942, -0.002663, -0.000902,  0.000244
   35,     5_5_0,  0.000000,  0.000000,  0.000000,  0.000000,  0.000000,  0.000000
   36,     6_0_0,  0.000000,  0.135390,  0.042402, -0.002048,  0.000308, -0.000320
   37,     6_1_0,  0.000000,  0.102772, -0.358575, -0.001821,  0.000109,  0.000479
   38,     6_2_0,  0.000000, -0.021307,  0.005349, -0.000733, -0.001468, -0.001269
   39,     6_3_0,  0.000000,  0.168632,  0.406318, -0.000553,  0.000015,  0.000396
   40,     6_4_0,  0.000000,  0.000000,  0.000000,  0.000000,  0.000000,  0.000000
   41,     6_5_0,  0.000000,  0.000000,  0.000000,  0.000000,  0.000000,  0.000000
   42,     7_0_0,  0.000000,  0.000000,  0.000000,  0.000000,  0.000000,  0.000000
   43,     7_1_0,  0.000000,  0.000000,  0.000000,  0.000000,  0.000000,  0.000000
   44,     7_2_0,  0.000000, -0.013094, -0.063087,  0.000286, -0.000490, -0.000411
   45,     7_3_0,  0.000000, -0.007560,  0.052380,  0.000589, -0.000508,  0.000113
   46,     7_4_0,  0.000000,  0.000000,  0.000000,  0.000000,  0.000000,  0.000000
   47,     7_5_0,  0.000000, -0.015119, -0.115469, -0.001156,  0.000479, -0.000392
   48,     8_0_0,  0.000000,  0.000000,  0.000000,  0.000000,  0.000000,  0.000000
   49,     8_1_0,  0.000000,  0.000000,  0.000000,  0.000000,  0.000000,  0.000000
   50,     8_2_0,  0.000000,  0.000000,  0.000000,  0.000000,  0.000000,  0.000000
   51,     8_3_0,  0.000000,  0.000000,  0.000000,  0.000000,  0.000000,  0.000000
   52,     8_4_0,  0.000000,  0.000000,  0.000000,  0.000000,  0.000000,  0.000000
   53,     8_5_0,  0.000000,  0.000000,  0.000000,  0.000000,  0.000000,  0.000000
   54,     9_0_0,  0.000000,  0.000000,  0.000000,  0.000000,  0.000000,  0.000000
   55,     9_1_0,  0.000000,  0.000000,  0.000000,  0.000000,  0.000000,  0.000000
   56,     9_2_0,  0.000000,  0.000000,  0.000000,  0.000000,  0.000000,  0.000000
   57,     9_3_0,  0.000000,  0.000000,  0.000000,  0.000000,  0.000000,  0.000000
   58,     9_4_0,  0.000000,  0.000000,  0.000000,  0.000000,  0.000000,  0.000000
   59,     9_5_0,  0.000000,  0.000000,  0.000000,  0.000000,  0.000000,  0.000000
   60,    10_0_0,  0.000000,  0.056801,  0.473295, -0.000732, -0.000044, -0.000276
   61,    10_1_0,  0.000000, -0.024720,  0.028524, -0.000625, -0.001164,  0.000042
   62,    10_2_0,  0.000000, -0.009090, -0.233667, -0.001659, -0.001208, -0.000192
   63,    10_3_0,  0.000000,  0.002821,  0.386391,  0.000875,  0.001209, -0.000051
   64,    10_4_0,  0.000000,  0.000000,  0.000000,  0.000000,  0.000000,  0.000000
   65,    10_5_0,  0.000000, -0.068011, -0.175285, -0.000730,  0.000181,  0.000526
   66,    11_0_0,  0.000000,  0.000000,  0.000000,  0.000000,  0.000000,  0.000000
   67,    11_1_0,  0.000000,  0.117091,  0.017769,  0.000652,  0.000026,  0.000230
   68,    11_2_0,  0.000000,  0.048455, -0.190176,  0.000971,  0.000332, -0.000028
   69,    11_3_0,  0.000000, -0.025701,  0.146867,  0.000627, -0.000898, -0.000370
   70,    11_4_0,  0.000000,  0.147897, -0.022627, -0.000492, -0.000196, -0.000044
   71,    11_5_0,  0.000000,  0.087658, -0.377445, -0.001561,  0.000352,  0.000156
   72,    12_0_0,  0.000000,  0.020550,  0.064903,  0.000922,  0.000711, -0.000025
   73,    12_1_0,  0.000000,  0.000000,  0.000000,  0.000000,  0.000000,  0.000000
   74,    12_2_0,  0.000000,  0.047819,  0.114490,  0.000811, -0.001082, -0.000029
   75,    12_3_0,  0.000000, -0.047230,  0.119299, -0.000545,  0.000772, -0.000346
   76,    12_4_0,  0.000000,  0.075090, -0.060092,  0.000019,  0.000518, -0.000301
   77,    12_5_0,  0.000000,  0.000000,  0.000000,  0.000000,  0.000000,  0.000000
   78,    13_0_0,  0.000000,  0.000000,  0.000000,  0.000000,  0.000000,  0.000000
   79,    13_1_0,  0.000000,  0.093897,  0.356517,  0.001101,  0.000483, -0.000181
   80,    13_2_0,  0.000000,  0.000000,  0.000000,  0.000000,  0.000000,  0.000000
   81,    13_3_0,  0.000000,  0.108643, -0.096338,  0.000184, -0.000312,  0.000262
   82,    13_4_0,  0.000000, -0.012775,  0.106961, -0.000111, -0.000420,  0.000044
   83,    13_5_0,  0.000000,  0.101271, -0.153223, -0.000996,  0.000170,  0.000000
   84,    14_0_0,  0.000000,  0.000000,  0.000000,  0.000000,  0.000000,  0.000000
   85,    14_1_0,  0.000000,  0.000000,  0.000000,  0.000000,  0.000000,  0.000000
   86,    14_2_0,  0.000000,  0.000000,  0.000000,  0.000000,  0.000000,  0.000000
   87,    14_3_0,  0.000000,  0.000000,  0.000000,  0.000000,  0.000000,  0.000000
   88,    14_4_0,  0.000000,  0.000000,  0.000000,  0.000000,  0.000000,  0.000000
   89,    14_5_0,  0.000000,  0.000000,  0.000000,  0.000000,  0.000000,  0.000000
   90,    15_0_0,  0.000000,  0.000000,  0.000000,  0.000000,  0.000000,  0.000000
   91,    15_1_0,  0.000000,  0.000000,  0.000000,  0.000000,  0.000000,  0.000000
   92,    15_2_0,  0.000000,  0.000000,  0.000000,  0.000000,  0.000000,  0.000000
   93,    15_3_0,  0.000000,  0.000000,  0.000000,  0.000000,  0.000000,  0.000000
   94,    15_4_0,  0.000000,  0.000000,  0.000000,  0.000000,  0.000000,  0.000000
   95,    15_5_0,  0.000000,  0.000000,  0.000000,  0.000000,  0.000000,  0.000000
   96,    16_0_0,  0.000000, -0.174970,  0.219155, -0.000355, -0.000205, -0.000156
   97,    16_1_0,  0.000000,  0.054228,  0.016851, -0.002041, -0.000548,  0.000183
   98,    16_2_0,  0.000000, -0.215795, -0.229563,  0.000641, -0.000679,  0.000059
   99,    16_3_0,  0.000000,  0.000000,  0.000000,  0.000000,  0.000000,  0.000000
  100,    16_4_0,  0.000000, -0.148419, -0.111209,  0.001871,  0.000498, -0.000200
  101,    16_5_0,  0.000000, -0.008237, -0.138469,  0.000293, -0.000370, -0.000564
  102,    17_0_0,  0.000000,  0.087779,  0.063632,  0.000954, -0.000323, -0.000315
  103,    17_1_0,  0.000000,  0.065433,  0.113524,  0.001401,  0.000250, -0.000291
  104,    17_2_0,  0.000000, -0.209355,  0.188292, -0.000094,  0.000559, -0.000105
  105,    17_3_0,  0.000000, -0.004761,  0.122133,  0.000381, -0.000933, -0.000349
  106,    17_4_0,  0.000000,  0.000000,  0.000000,  0.000000,  0.000000,  0.000000
  107,    17_5_0,  0.000000, -0.226985,  0.016256, -0.000472,  0.000495,  0.000254
  108,    18_0_0,  0.000000,  0.000000,  0.000000,  0.000000,  0.000000,  0.000000
  109,    18_1_0,  0.000000, -0.171702,  0.031628, -0.000516,  0.000071,  0.000202
  110,    18_2_0,  0.000000,  0.000000,  0.000000,  0.000000,  0.000000,  0.000000
  111,    18_3_0,  0.000000,  0.028120,  0.188344,  0.000140,  0.000894, -0.000439
  112,    18_4_0,  0.000000, -0.173050,  0.097943,  0.000882,  0.000125, -0.000147
  113,    18_5_0,  0.000000, -0.071795, -0.122031,  0.000020, -0.000379,  0.000272
  114,    19_0_0,  0.000000,  0.130790,  0.348343,  0.001337, -0.000596,  0.000289
